maximin_lfc,Bm1,Bm5,sorted_GC,sorted_Pre_GC
315,NA,NA,LMNB2,ITPR2
316,NA,NA,THOC6,CDK2AP2
317,NA,NA,CALM2,ERO1A
318,NA,NA,DNAJC10,ARFGAP1
319,NA,NA,RBX1,TMCO1
320,NA,NA,CS,SLC17A9
321,NA,NA,POLH,TPT1
322,NA,NA,PA2G4,SCAND1
323,NA,NA,RAB3GAP2,NDUFB4
324,NA,NA,RBM17,SARS
325,NA,NA,RABGAP1L,EIF2A
326,NA,NA,DHX9,SLC35C2
327,NA,NA,SUMO1,MFF
328,NA,NA,SERPINA9,SEC24C
329,NA,NA,MEN1,GYS1
330,NA,NA,HNRNPA2B1,SELENOF
331,NA,NA,SNHG29,NDUFB7
332,NA,NA,UHRF2,CERS2
333,NA,NA,SORL1,SURF1
334,NA,NA,GNAI3,KIAA2013
335,NA,NA,INPP5B,UBE2J1
336,NA,NA,RFWD3,KRT10
337,NA,NA,OAZ2,RAB5A
338,NA,NA,EZR,SHMT2
339,NA,NA,POLD2,ATP13A1
340,NA,NA,MICU2,NRBP1
341,NA,NA,KRAS,PEX2
342,NA,NA,LIG1,PSMF1
343,NA,NA,CAPZA1,RNH1
344,NA,NA,COMMD10,NAXE
345,NA,NA,ROCK2,IGLC3
346,NA,NA,SNAPIN,PRDX5
347,NA,NA,SCAF4,DUSP22
348,NA,NA,CD81,MRFAP1L1
349,NA,NA,CLTC,BRMS1
350,NA,NA,CFL1,ISG20
351,NA,NA,ALAS1,NDUFB11
352,NA,NA,ACTR3,SPINT2
353,NA,NA,CUL4B,HEXB
354,NA,NA,CALM3,OSBPL2
355,NA,NA,SCARB1,PJA2
356,NA,NA,NUP93,TAX1BP1
357,NA,NA,NCAPH2,DAP
358,NA,NA,MIS18BP1,AAMP
359,NA,NA,TARDBP,LRRC41
360,NA,NA,KCTD10,LMF2
361,NA,NA,ATP5PB,CYTIP
362,NA,NA,ENSA,TMEM243
363,NA,NA,WDR34,TMEM219
364,NA,NA,HNRNPA3,DHRS7
365,NA,NA,PPP4C,VPREB3
366,NA,NA,TK1,ZNF622
367,NA,NA,CCT3,COQ10B
368,NA,NA,UBE2V2,CD38
369,NA,NA,LCP1,TMEM8A
370,NA,NA,FUBP1,SPRYD3
371,NA,NA,SMPD4,ECPAS
372,NA,NA,RMI2,KCNN3
373,NA,NA,HDGF,VMP1
374,NA,NA,ACTG1,YTHDF1
375,NA,NA,MCTP2,DHTKD1
376,NA,NA,DDX56,NDUFAF3
377,NA,NA,ACTR10,GSTP1
378,NA,NA,NAP1L1,YME1L1
379,NA,NA,PDS5B,SART1
380,NA,NA,NDC1,TMEM263
381,NA,NA,GDI2,LAPTM4A
382,NA,NA,SEH1L,CCDC117
383,NA,NA,FYTTD1,TPD52
384,NA,NA,CHRAC1,RAB2A
385,NA,NA,TRIM26,VPS51
386,NA,NA,COPS3,ALKBH5
387,NA,NA,CCT6A,RAB30
388,NA,NA,SUZ12,HIST1H1C
389,NA,NA,POMP,RBM33
390,NA,NA,TPX2,DNAJC4
